[2025-09-22 08:27:24,886] INFO - 配置已从 /Users/martinezdavid/Documents/MG/code/Subtitle Translation Tools/main.config.json 加载
[2025-09-22 08:27:25,030] INFO - 主窗口初始化完成
[2025-09-22 08:27:25,090] INFO - 应用程序启动成功
[2025-09-22 09:23:46,375] INFO - 配置文件不存在，使用默认配置: /Users/martinezdavid/Documents/MG/code/main.config.json
[2025-09-22 09:23:46,521] INFO - 主窗口初始化完成
[2025-09-22 09:23:46,574] INFO - 应用程序启动成功
[2025-09-22 09:25:32,352] INFO - 配置文件不存在，使用默认配置: /Users/martinezdavid/Documents/MG/code/main.config.json
[2025-09-22 09:25:32,463] INFO - 主窗口初始化完成
[2025-09-22 09:25:32,508] INFO - 应用程序启动成功
[2025-09-22 09:27:59,459] INFO - 配置已从 /Users/martinezdavid/Documents/MG/code/Subtitle Translation Tools/main.config.json 加载
[2025-09-22 09:27:59,594] INFO - 主窗口初始化完成
[2025-09-22 09:27:59,649] INFO - 应用程序启动成功
[2025-09-22 09:36:52,791] INFO - 配置已从 /Users/martinezdavid/Documents/MG/code/Subtitle Translation Tools/main.config.json 加载
[2025-09-22 09:36:52,801] ERROR - 应用程序启动失败: type object 'PySide6.QtCore.Qt' has no attribute 'QSize'
[2025-09-22 09:37:08,637] INFO - 配置已从 /Users/martinezdavid/Documents/MG/code/Subtitle Translation Tools/main.config.json 加载
[2025-09-22 09:37:08,641] ERROR - 应用程序启动失败: name 'QSize' is not defined
[2025-09-22 09:37:24,936] INFO - 配置已从 /Users/martinezdavid/Documents/MG/code/Subtitle Translation Tools/main.config.json 加载
[2025-09-22 09:37:25,181] INFO - 主窗口初始化完成
[2025-09-22 09:37:25,234] INFO - 应用程序启动成功
[2025-09-22 09:38:31,347] INFO - 配置已从 /Users/martinezdavid/Documents/MG/code/Subtitle Translation Tools/main.config.json 加载
[2025-09-22 09:38:31,597] INFO - 主窗口初始化完成
[2025-09-22 09:38:31,647] INFO - 应用程序启动成功
